color,mood
сине-зеленый,активность
фиолетовый,артистизм
белый,безмятежность
зеленый,безопасность
фиолетовый,вдохновение
зеленый,вера
красный,воля
зеленый,гармония
сине-зеленый,гармония
оранжевый,движение
фиолетовый,духовность
зеленый,естественность
оранжевый,жизнерадостность
красный,жизнь
зеленый,жизнь
черный,защищенность
желтый,интелектуальность
синий,искренность
фиолетовый,мудрость
белый,невинность
фиолетовый,обострение интуиции
оранжевый,общительность
красный,огонь
белый,одиночество
белый,отрешенность
черный,печаль
черный,подавленность
белый,покой
черный,покой 
синий,положительные эмоции
желтый,принятие решений
оранжевый,радость
желтый,радость
фиолетовый,ранимость
зеленый,расслабление
синий,расслабление
сине-зеленый,расслабление
черный,смерть
зеленый,спокойствие
синий,спокойствие
сине-зеленый,спокойствие
черный,стабильность
красный,страсть
желтый,счастье
желтый,тепло
фиолетовый,фантазия
синий,чистота
белый,чистота
оранжевый,чувственность
фиолетовый,чувствительность
красный,энергия
сине-зеленый,энергия
