mood,weather
9,солнечно
10,солнечно
10,солнечно
9,солнечно
9,солнечно
10,солнечно
10,солнечно
9,солнечно
10,солнечно
9,солнечно
7,облачно
9,облачно
8,облачно
7,облачно
10,облачно
7,облачно
8,облачно
8,облачно
9,облачно
7,облачно
4,дождь
9,дождь
7,дождь
2,дождь
1,дождь
10,дождь
6,дождь
6,дождь
8,дождь
1,дождь
2,ветер
4,ветер
3,ветер
3,ветер
3,ветер
1,ветер
4,ветер
4,ветер
4,ветер
4,ветер
6,снег
7,снег
4,снег
6,снег
4,снег
7,снег
7,снег
7,снег
5,снег
7,снег
5,туман
3,туман
6,туман
4,туман
6,туман
3,туман
3,туман
5,туман
5,туман
4,туман
2,ураган
1,ураган
1,ураган
2,ураган
2,ураган
2,ураган
2,ураган
2,ураган
1,ураган
1,ураган
